g 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 g
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
3 g g g g g g g g g g g g g g g g g g g g g g g g g g g g 4
g 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 g
